id,catalog_number,description
2501626,UKP310MH2310A,FYH UKP310MH2310A *MACHINE C HEIGHT 2 7/8& IN 3/64 @SIDE
2501625,UKP310E3,FYH UKP310E3 HD TB PB (ADA 1(11/163/4) 45MM) GR/TAP
2501624,UKP310E1,FYH UKP310E1 HD TB PB (ADA 1(11/163/4) 45MM)
2501623,UKP309H2309A,FYH UKP309H2309A 1 7/16 UKP3 UNIT
2501622,UKP307H2307A,FYH UKP307H2307A 1 3/16in UKP3 UNIT
2501621,UKP306H2306E,FYH UKP306H2306E 1ft UKP3 UNIT
2501620,UKP217N2,FYH UKP217N2 ND TB PB (ADAPTOR) with 90 DEG. ZERK
2501619,UKP217H317A,FYH UKP217H317A 2 15/16 ADAPTER WITH UKP 217 UNIT
2501618,UKP217E3E3,FYH UKP217E3E3 ND TB PB GROOVED BOTH SIDES
2501617,UKP217E1E1,FYH UKP217E1E1 ND TB PB GROOVED BOTH SIDE
2501616,UKP216NP,FYH UKP216NP
2501615,UKP216L3,FYH UKP216L3 ND TB PB UNIT W/ L3 SEALS
2501614,UKP216E1,FYH UKP216E1 UKP216 MACHINED FOR COVER
2501613,UKP215N2,FYH UKP215N2 ND TB PB (ADAPTOR) WITH 90 DEG. ZERK
2501612,UKP215H315A,FYH UKP215H315A 2 7/16 ADAPTER ASSEMBLED WITH UNIT
2501611,UKP215E1,FYH UKP215E1 UKP215 MACHINED FOR COVER
2501610,UKP215D1K2,FYH UKP215D1K2 65 MM ND TB PB HIGH TEMP
2501609,UKP213N2,FYH UKP213N2 ND TB PB ADA WITH 90 DEG. ZERK
2501608,UKP213L3,FYH UKP213L3 ND TB PB (ADAPTER) 2(3/161/43/8) 60MM
2501607,UKP213H313A,FYH UKP213H313A 2 3/16in UKP UNIT
2501606,UKP213H2313,FYH UKP213H2313 ND TB PB + H 2313 (60MM) ADAPTER
2501605,UKP213E3E3,FYH UKP213E3E3 UKP213 MACHINED FOR CAST COVERS
2501604,UKP213E1E1,FYH UKP213E1E1 TAPERED-BORE PB MACHINED FOR COVERS BOTH SIDES
2501603,UKP213E1,FYH UKP213E1 ND TB PB (ADAPTER) 2(3/161/43/8) 60MM
2501602,UKP212L3,FYH UKP212L3 55MM N/D UNIT + L3 SEALS
2501601,UKP212E3,FYH UKP212E3 UKP 212 * MACHINED FOR COVERS BOTH SIDES
2501600,UKP212E1,FYH UKP212E1 UKP 212 * MACHINED FOR COVERS*
2501599,UKP212D1K2,FYH UKP212D1K2 ND TB PB HIGH-TEMP UNIT
2501598,UKP211NP,FYH UKP211NP 50MM 1(7/815/16)TO 2in N/D NICKEL PLATED
2501597,UKP211N2H311A,FYH UKP211N2H311A 1 15/16 ADAPTER UNIT W/ 90 DEG GREASE FITTING
2501596,UKP211N2,FYH UKP211N2
2501595,UKP211L3H2311,FYH UKP211L3H2311 ND TB PB (ADAPTER) 1(7/815/162) 50MM
2501594,UKP211L3E1E1,FYH UKP211L3E1E1 ND TB PB (ADAPTER) 1(7/815/162) 50MM
2501593,UKP211L3CC,FYH UKP211L3CC ND TB PB (ADAPTER) 1(7/815/162) 50MM
2501592,UKP211L3,FYH UKP211L3 ND TB PB (ADAPTER) 1(7/815/162) 50MM
2501591,UKP211H311A,FYH UKP211H311A 1 15/16 UKP UNIT
2501590,UKP211H2311,FYH UKP211H2311 ND TB PB + H 2311 (50MM) ADAPTER
2501589,UKP211E3E3,FYH UKP211E3E3 TAPERED BORE UNIT MACHINED FOR COVERS
2501588,UKP211E3,FYH UKP211E3 TAPERED BORE UNIT MACHINED FOR COVER
2501587,UKP211E1E1,FYH UKP211E1E1 UKP 211 MACHINED FOR COVERS BOTH SIDES
2501586,UKP211E1,FYH UKP211E1 UKP 211 * MACHINED FOR COVERS*
2501585,UKP211DN2,FYH UKP211DN2 UK UNIT w CLOSED COVER + 90 DEG. ZERK
2501584,UKP211CD,FYH UKP211CD 50MM TB PB WITH OPEN + CLOSED COVERS
2501583,UKP210L3E1E1,FYH UKP210L3E1E1 ND TB PB 1(11/163/4) 45MM TRIPLE SEAL
2501582,UKP210L3CC,FYH UKP210L3CC ND TB PB 1(11/163/4) 45MM TRIPLE SEAL
2501581,UKP210L3,FYH UKP210L3 ND TB PB 1(11/163/4) 45MM TRIPLE SEAL
2501580,UKP210H310A,FYH UKP210H310A 1 11/16 UKP UNIT
2501579,UKP210E3E3,FYH UKP210E3E3 50MM TB PB GROOVED FOR COVERS BOTH SIDES
2501578,UKP210E3E1,FYH UKP210E3E1 UKP210 GROOVED E3 FRONT & E1 BACK
2501577,UKP210E3,FYH UKP210E3 50MM TB PB GROOVED FOR COVERS BOTH SIDES
2501576,UKP210E1E1,FYH UKP210E1E1 50MM ND TB PB GROOVED FOR COVERS
2501575,UKP210E1,FYH UKP210E1 50MM ND TB PB GROOVED FOR COVERS
2501574,UKP210D1K2,FYH UKP210D1K2 ND TB PB HIGH-TEMP UNIT
2501573,UKP209NP,FYH UKP209NP NDTB PB ADAPTOR 1(7/161/25/8) 40MM
2501572,UKP209N2H309S,FYH UKP209N2H309S ND TB PB ADA WITH 90 DEG. ZERK + H309S
